time_s,TP9,AF7,AF8,TP10,is_gap
0.0,0.0,-706.0546875,-530.76171875,112.3046875,False
0.00390625,0.0,-976.5634835967068,-708.0014042184257,-171.88388217632158,False
0.0078125,0.0,-992.6316088160786,-603.0068670549231,-317.3200411465328,False
0.01171875,0.0,-751.4511330080271,-491.2209224968716,25.50284444245208,False
0.015625,0.0,-706.6495846718196,-523.9827404411092,393.0703704427878,False
0.01953125,0.0,-956.0788303282566,-657.2488275527255,402.05376780727323,False
0.0234375,0.0,-999.9836077221815,-697.6942383587408,-125.69449610495636,False
0.02734375,0.0,-975.5541047338543,-608.8902954652973,-432.2566545980344,False
0.03125,0.0,-932.163540776462,-613.8630027431021,60.04142551657307,False
0.03515625,0.0,-972.640989348065,-723.0524904430167,610.4588043469967,False
0.0390625,0.0,-957.0451991896593,-628.8880087519839,220.1006273081736,False
0.04296875,-0.662995036293766,-969.7634948380505,-612.3845090048188,-327.70879637748567,False
0.046875,-543.1417034330556,-999.93711326146,-677.6729784685344,-386.49700718732834,False
0.05078125,-26.565963452646198,-896.814625045782,-577.101224858076,-23.241436389787573,False
0.0546875,404.21666715945855,-661.7299749248413,-506.90025876342935,268.5508127250946,False
0.05859375,302.7657308707728,-799.0060665860395,-587.9934555647967,263.38529068680566,False
0.0625,-196.03133035687034,-993.171156318673,-700.2191274626877,-49.516046575509705,False
0.06640625,-417.58424677066165,-999.919588426265,-722.9531290533632,-241.4885630779619,False
0.0703125,-85.8856972401111,-930.4321721248932,-558.0351266824869,-59.74265056540715,False
0.07421875,356.21932370513366,-740.948227761415,-500.7781144129227,199.1003011117385,False
0.078125,550.3918053160481,-908.8251754021181,-716.3786973698267,473.5888785137651,False
0.08203125,-48.95509839305335,-999.9736515306433,-763.9191452508851,109.77118083109511,False
0.0859375,-742.3603745727017,-983.2465463237089,-612.2128851407032,-561.9617043477598,False
0.08984375,-271.5463000118191,-894.5830775712194,-558.7099152458367,-246.43983307471177,False
0.09375,493.53905129295873,-922.8190143907948,-622.0396421663258,363.7188313106611,False
0.09765625,404.3431636571389,-897.4732771677756,-598.0890027450098,323.56269099659687,False
0.1015625,-257.7988786759095,-906.3930686118911,-558.6399492392565,-143.4494128464168,False
0.10546875,-567.6576662928035,-999.9597644089911,-588.8639686527193,-393.51346837232194,False
0.109375,-141.49736086100597,-975.6118090739836,-586.9557908451349,-71.97775903049079,False
0.11328125,489.68886630524355,-990.7128202829325,-611.2852044164326,381.3065240240813,False
0.1171875,457.3648979253144,-985.2790744033085,-587.9201925131241,358.1294088977231,False
0.12109375,-120.92671739561715,-948.3496081827616,-603.4266244010195,-28.925135056769626,False
0.125,-275.28546957026003,-1000.0,-795.1837501716824,-85.02853741911855,False
0.12890625,-226.60583522172374,-999.5401817051212,-691.9750918444424,-115.24245192234328,False
0.1328125,175.57654266115247,-801.7891981767336,-516.7503538563667,91.99210404330972,False
0.13671875,497.7642015339973,-815.4043067651455,-579.229806706043,377.65949587426024,False
0.140625,-5.743370200524966,-999.9878391679893,-630.2859679259248,74.0765159550116,False
0.14453125,-653.7947041722622,-993.8959776736663,-589.2106117804602,-463.56459738585033,False
0.1484375,-423.95205818505065,-882.7819190842083,-523.5213143617996,-324.78667277728607,False
0.15234375,363.2150211550788,-869.5788322358381,-559.5738892152973,271.2858076890795,False
0.15625,534.6317843135758,-849.3564416165609,-561.2529782116042,389.1226603513002,False
0.16015625,138.96741286699628,-941.0766459992828,-646.0682197724012,183.28384653680644,False
0.1640625,-476.16950840671166,-1000.0,-672.8891180106214,-294.22033210039984,False
0.16796875,-331.6217160984617,-999.8248899802375,-686.3217107572335,-215.37217987921193,False
0.171875,319.81837678168114,-938.1323632645586,-615.7216726532932,279.49743931029485,False
0.17578125,317.02743602925466,-660.905989138231,-452.9802622543035,183.21980441566964,False
0.1796875,45.50073103598242,-745.4424102919185,-563.4700651971556,62.62988644860526,False
0.18359375,-376.6844496499176,-995.9344753912685,-711.5456394151565,-198.83102090197693,False
0.1875,0.0,-947.559660803397,-599.966211962825,-375.58902539753996,False
0.19140625,0.0,-883.122601216274,-556.3712387261934,80.39213079714015,False
0.1953125,0.0,-982.4787447732267,-626.5011772162281,492.9746456190484,False
0.19921875,0.0,-999.9573774760407,-637.5838382065682,282.2452806433891,False
0.203125,0.0,-987.3318688770372,-604.63658856551,-291.96500612296285,False
0.20703125,0.0,-995.1344749572702,-646.0375836474484,-282.49761790761204,False
0.2109375,0.0,-999.974962992919,-657.8650657924857,192.3200411465328,False
0.21484375,0.0,-993.0624241736357,-698.4902327058662,572.66419030796,False
